 0.16  0.64  0.11  0.40 
 0.37  0.62  0.58  0.72 
 0.36  0.52  0.01  0.43 
 0.77  0.64  0.73  0.88 
 0.46  0.50  0.95  0.60 
 0.98  0.71  0.36  0.10 
 0.04  0.37  0.59  0.56 
 0.49  0.92  0.11  0.10 
 0.20  0.34  0.12  0.73 
 0.73  0.29  0.31  0.80 
 0.23  0.90  0.52  0.78 
 0.01  0.99  0.47  0.27 
 0.09  0.87  0.20  0.65 
 0.98  0.69  0.34  0.37 
 0.02  0.39  0.26  0.50 
 0.66  0.20  0.13  0.81 
 0.10  0.76  0.78  0.70 
 0.24  0.39  0.44  0.69 
 0.47  0.90  0.13  0.79 
 0.24  0.08  0.87  0.56 
 0.38  0.14  0.85  0.72 
 0.96  0.22  0.05  0.67 
 0.10  0.57  0.70  0.72 
 0.22  0.30  0.81  0.22 
 0.74  0.28  0.28  0.77 
 0.43  0.71  0.98  0.37 
 0.80  0.10  0.44  0.70 
 0.60  0.50  0.43  0.93 
 0.13  0.58  0.96  0.70 
 0.18  0.26  0.40  0.96 
 0.59  0.24  0.46  0.75 
 0.31  0.36  0.11  0.57 
 0.55  0.99  0.33  0.38 
 0.22  0.18  0.78  0.53 
 0.69  0.73  0.53  0.80 
 0.69  0.51  1.00  0.33 
 0.98  0.99  0.52  0.01 
 0.58  0.54  0.83  0.40 
 0.41  0.45  0.92  0.86 
 0.85  0.12  0.37  0.79 
 0.78  0.06  0.96  0.91 
 0.55  0.89  0.23  0.80 
 0.66  0.48  0.71  0.14 
 0.17  0.22  0.01  0.85 
 0.29  0.75  0.81  0.01 
 0.06  0.13  0.75  0.03 
 0.77  0.46  0.52  0.78 
 0.10  0.36  0.75  0.28 
 0.05  0.75  0.92  0.25 
 0.44  0.91  0.91  0.30 
 0.14  0.56  0.78  0.79 
 0.79  0.43  0.73  0.20 
 0.32  0.20  0.75  0.18 
 0.28  0.33  0.70  0.93 
 0.94  0.25  0.95  0.50 
 0.55  0.49  0.42  0.67 
 0.13  0.77  0.50  0.49 
 0.11  0.68  0.77  0.86 
 0.51  0.76  0.04  0.36 
 0.71  0.23  0.32  0.77 
 0.93  0.13  0.18  0.07 
 0.56  0.72  0.63  0.98 
 0.98  0.16  0.79  0.79 
 0.02  0.96  0.11  0.27 
 0.39  0.94  0.80  0.75 
 0.35  0.56  0.37  0.60 
 0.83  0.04  0.84  0.13 
 0.62  0.09  0.37  0.59 
 0.18  0.38  0.81  0.36 
 0.00  0.24  0.59  0.18 
 0.44  0.38  0.56  0.52 
 0.63  0.60  0.37  0.90 
 0.22  0.79  0.83  0.23 
 0.56  0.43  0.16  0.78 
 0.69  0.32  0.17  0.27 
 0.08  0.75  0.73  0.38 
 0.48  0.68  0.76  0.20 
 0.49  0.73  0.99  0.32 
 0.77  0.71  0.17  0.80 
 0.48  0.35  0.63  0.44 
 0.38  0.10  0.77  0.05 
 0.14  0.47  0.84  0.38 
 0.50  0.82  0.96  0.85 
 0.78  0.97  0.19  0.70 
 0.69  0.52  0.54  0.69 
 0.77  0.35  0.52  0.97 
 0.85  0.51  0.86  0.54 
 0.10  0.66  0.75  0.34 
 0.46  0.92  0.62  0.87 
 0.18  0.18  0.92  0.95 
 0.82  0.26  0.11  0.54 
 0.99  0.94  0.08  0.30 
 0.92  0.51  0.58  0.59 
 0.88  0.57  0.10  0.15 
 0.32  0.38  0.58  0.48 
 0.07  0.90  0.08  1.00 
 0.36  0.57  0.61  0.40 
 0.56  0.28  0.04  0.24 
 0.24  0.77  0.01  0.32 
 0.49  0.48  0.04  0.02 
